"('Year',)","('sigName',)","('급수대상총인구',)","('급수인구',)","('보급률(%)',)","('시설용량(㎥/일)',)","('급수량(㎥/일)',)","('1일1인당급수량(ℓ)',)","('급수전수',)"
1993,합계,"10,925,464","10,919,976",99.9,"6,190,000","5,034,065",461,"1,760,705"
1993,종로구,"222,423","222,423",100,…,…,0...,"42,976"
1993,중구,"167,383","167,383",100,…,…,0...,"34,434"
1993,용산구,"276,439","276,439",100,…,…,0...,"43,348"
1993,성동구,"767,976","767,976",100,…,…,0...,"101,999"
1993,광진구,-,-,-,…,…,0...,-
1993,동대문구,"459,000","459,000",100,…,…,0...,"67,791"
1993,중랑구,"460,157","460,157",100,…,…,0...,"54,278"
1993,성북구,"514,240","514,240",100,…,…,0...,"75,615"
1993,강북구,-,-,-,…,…,0...,-
1993,도봉구,"780,472","779,842",99.9,…,…,0...,"126,156"
1993,노원구,"588,188","588,094",99.9,…,…,0...,"125,268"
1993,은평구,"512,196","512,196",100,…,…,0...,"78,780"
1993,서대문구,"381,905","381,905",100,…,…,0...,"62,118"
1993,마포구,"422,406","422,406",100,…,…,0...,"73,767"
1993,양천구,"499,848","499,570",99.9,…,…,0...,"85,091"
1993,강서구,"474,434","472,241",99.5,…,…,0...,"80,862"
1993,구로구,"724,230","724,230",100,…,…,0...,"88,870"
1993,금천구,-,-,-,…,…,0...,-
1993,영등포구,"445,221","445,221",100,…,…,0...,"58,962"
1993,동작구,"440,361","440,361",100,…,…,0...,"65,469"
1993,관악구,"590,442","590,442",100,…,…,0...,"80,416"
1993,서초구,"410,719","409,799",99.8,…,…,0...,"80,931"
1993,강남구,"566,379","566,217",99.9,…,…,0...,"126,642"
1993,송파구,"685,260","685,260",100,…,…,0...,"123,202"
1993,강동구,"535,785","534,574",99.8,…,…,0...,"83,730"
1994,합계,"10,798,700","10,791,862",99.9,"6,190,000","5,137,230",476,"1,809,097"
1994,종로구,"214,930","214,930",100,…,…,0...,"44,898"
1994,중구,"156,302","156,302",100,…,…,0...,"33,681"
1994,용산구,"268,689","268,689",100,…,…,0...,"44,028"
1994,성동구,"753,072","753,072",100,…,…,0...,"102,083"
1994,광진구,-,-,-,…,…,0...,-
1994,동대문구,"443,027","443,027",100,…,…,0...,"67,631"
1994,중랑구,"457,749","457,749",100,…,…,0...,"56,009"
1994,성북구,"503,536","503,536",100,…,…,0...,"76,541"
1994,강북구,-,-,-,…,…,0...,-
1994,도봉구,"775,394","774,619",99.9,…,…,0...,"132,751"
1994,노원구,"589,582","588,992",99.9,…,…,0...,"127,726"
1994,은평구,"511,788","511,788",100,…,…,0...,"82,288"
1994,서대문구,"374,662","374,662",100,…,…,0...,"64,729"
1994,마포구,"412,484","412,484",100,…,…,0...,"73,113"
1994,양천구,"492,449","491,957",99.9,…,…,0...,"86,447"
1994,강서구,"508,345","505,803",99.5,…,…,0...,"94,868"
1994,구로구,"698,274","698,274",100,…,…,0...,"90,472"
1994,금천구,-,-,-,…,…,0...,-
1994,영등포구,"433,512","433,512",100,…,…,0...,"59,384"
1994,동작구,"440,651","440,651",100,…,…,0...,"70,541"
1994,관악구,"578,658","578,658",100,…,…,0...,"80,633"
1994,서초구,"412,315","411,490",99.8,…,…,0...,"83,257"
1994,강남구,"572,311","571,739",99.9,…,…,0...,"127,984"
1994,송파구,"680,067","680,067",100,…,…,0...,"125,351"
1994,강동구,"520,903","519,861",99.8,…,…,0...,"84,682"
1995,합계,"10,595,943","10,584,302",99.9,"6,190,000","4,958,903",469,"1,873,286"
1995,종로구,"204,733","204,733",100,…,…,0...,"45,278"
1995,중구,"145,646","145,646",100,…,…,0...,"33,106"
1995,용산구,"260,993","260,993",100,…,…,0...,"43,926"
1995,성동구,"342,648","342,648",100,…,…,0...,"50,344"
1995,광진구,"391,148","391,148",100,…,…,0...,"49,522"
1995,동대문구,"420,069","420,069",100,…,…,0...,"67,305"
1995,중랑구,"454,951","454,951",100,…,…,0...,"65,685"
1995,성북구,"497,614","497,614",100,…,…,0...,"82,750"
