"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('세대', '세대', '세대')","('인구', '합계', '계')","('인구', '합계', '남자')","('인구', '합계', '여자')","('인구', '한국인', '계')","('인구', '한국인', '남자')","('인구', '한국인', '여자')","('인구', '등록외국인', '계')","('인구', '등록외국인', '남자')","('인구', '등록외국인', '여자')","('인구밀도', '인구밀도', '인구밀도(명/㎢)')","('인구밀도', '인구밀도', '면적(㎢)')","('세대당인구', '세대당인구', '세대당인구')","('65세이상고령자', '65세이상고령자', '65세이상고령자')"
1991,동작구,"133,178","429,173","216,432","212,741",…,…,…,…,…,…,"26,206",16.38,3.22,…
1992,동작구,"134,670","427,486","215,826","211,660","426,725","215,421","211,304",761,405,356,"26,114",16.37,3.17,"17,142"
1993,동작구,"141,571","440,361","222,150","218,211","439,453","221,649","217,804",908,501,407,"26,900",16.37,3.11,"18,126"
1994,동작구,"144,123","440,651","222,206","218,445","439,699","221,713","217,986",952,493,459,"26,951",16.35,3.06,"18,867"
1995,동작구,"145,265","436,684","220,287","216,397","435,601","219,727","215,874","1,083",560,523,"26,709",16.35,3.01,"19,276"
1996,동작구,"145,735","434,873","219,096","215,777","433,608","218,457","215,151","1,265",639,626,"26,598",16.35,2.98,"19,843"
1997,동작구,"147,954","432,300","218,004","214,296","430,950","217,308","213,642","1,350",696,654,"26,440",16.35,2.92,"20,731"
1998,동작구,"145,440","425,942","214,410","211,532","424,636","213,756","210,880","1,306",654,652,"26,051",16.35,2.93,"21,716"
1999,동작구,"143,849","420,564","211,425","209,139","419,161","210,761","208,400","1,403",664,739,"25,723",16.35,2.91,"22,801"
2000,동작구,"144,888","417,396","209,958","207,438","415,892","209,248","206,644","1,504",710,794,"25,529",16.35,2.87,"24,057"
2001,동작구,"143,095","407,793","204,604","203,189","406,116","203,840","202,276","1,677",764,913,"24,941",16.35,2.84,"24,976"
2002,동작구,"144,854","404,872","202,635","202,237","403,047","201,955","201,092","1,825",680,"1,145","24,763",16.35,2.78,"26,195"
2003,동작구,"151,694","413,204","206,499","206,705","410,360","205,203","205,157","2,844","1,296","1,548","25,260",16.36,2.72,"28,281"
2004,동작구,"154,625","414,199","206,439","207,760","410,945","204,946","205,999","3,254","1,493","1,761","25,324",16.36,2.68,"30,183"
2005,동작구,"158,192","414,668","205,898","208,770","410,481","203,993","206,488","4,187","1,905","2,282","25,367",16.35,2.62,"32,061"
2006,동작구,"161,958","414,978","205,408","209,570","408,582","202,449","206,133","6,396","2,959","3,437","25,385",16.35,2.56,"34,137"
2007,동작구,"163,600","414,839","205,115","209,724","405,967","200,891","205,076","8,872","4,224","4,648","25,372",16.35,2.54,"36,829"
2008,동작구,"163,742","410,934","202,654","208,280","400,866","197,951","202,915","10,068","4,703","5,365","25,136",16.35,2.45,"38,320"
2009,동작구,"163,344","407,973","200,855","207,118","397,920","196,339","201,581","10,053","4,516","5,537","24,954",16.35,2.44,"39,971"
2010,동작구,"167,887","413,814","203,608","210,206","402,709","198,587","204,122","11,105","5,021","6,084","25,312",16.35,2.4,"42,539"
2011,동작구,"167,099","413,658","203,341","210,317","401,408","197,672","203,736","12,250","5,669","6,581","25,296",16.35,2.4,"44,287"
2012,동작구,"169,293","416,268","204,479","211,789","405,491","199,454","206,037","10,777","5,025","5,752","25,456",16.35,2.4,"47,185"
2013,동작구,"172,700","421,487","207,223","214,264","410,815","202,144","208,671","10,672","5,079","5,593","25,773",16.35,2.38,"50,062"
2014,동작구,"172,389","419,261","205,962","213,299","407,470","200,328","207,142","11,791","5,634","6,157","25,643",16.35,2.36,"52,327"
2015,동작구,"170,495","412,774","202,165","210,609","400,641","196,463","204,178","12,133","5,702","6,431",-,-,2.35,"53,610"
2016,동작구,"172,506","413,247","201,842","211,405","400,997","196,267","204,730","12,250","5,575","6,675",-,-,2.32,"55,231"
2017,동작구,"172,995","408,493","198,827","209,666","396,217","193,255","202,962","12,276","5,572","6,704",-,-,2.29,"57,255"
2018,동작구,"177,176","409,385","198,458","210,927","396,203","192,533","203,670","13,182","5,925","7,257",-,-,2.24,"59,479"
2019,동작구,"180,753","408,912","197,706","211,206","395,963","191,976","203,987","12,949","5,730","7,219",-,-,2.19,"62,226"
