"('Year',)","('sigName',)","('재정자립도',)"
2000,서울시,…
2000,본청,94.8
2000,종로구,66.3
2000,중구,95.3
2000,용산구,51.9
2000,성동구,44.7
2000,광진구,45.6
2000,동대문구,33.4
2000,중랑구,32.9
2000,성북구,43.4
2000,강북구,31.6
2000,도봉구,36.1
2000,노원구,36.7
2000,은평구,34.3
2000,서대문구,39.6
2000,마포구,48.7
2000,양천구,51.3
2000,강서구,42.4
2000,구로구,47.6
2000,금천구,36.8
2000,영등포구,74.1
2000,동작구,42.2
2000,관악구,35
2000,서초구,91.3
2000,강남구,91.2
2000,송파구,71.8
2000,강동구,42.7
2001,서울시,…
2001,본청,94.9
2001,종로구,72.3
2001,중구,95
2001,용산구,51.8
2001,성동구,42.2
2001,광진구,42.3
2001,동대문구,37
2001,중랑구,35.1
2001,성북구,43.7
2001,강북구,30.4
2001,도봉구,37.6
2001,노원구,33.5
2001,은평구,31.2
2001,서대문구,39.1
2001,마포구,46.7
2001,양천구,58.2
2001,강서구,44
2001,구로구,45.5
2001,금천구,37.6
2001,영등포구,78.8
2001,동작구,39.2
2001,관악구,31.4
2001,서초구,91.4
2001,강남구,90.8
2001,송파구,68.4
2001,강동구,41.8
2002,서울시,…
2002,본청,94.7
2002,종로구,75.7
2002,중구,93
2002,용산구,52.8
2002,성동구,41
2002,광진구,39
2002,동대문구,38.8
2002,중랑구,32
2002,성북구,44.5
2002,강북구,31.8
2002,도봉구,37.4
2002,노원구,33.2
2002,은평구,31.1
2002,서대문구,42.3
2002,마포구,44.7
2002,양천구,60.4
2002,강서구,45.6
2002,구로구,43.4
2002,금천구,39.7
2002,영등포구,81.9
2002,동작구,41.7
2002,관악구,32.6
2002,서초구,90.5
2002,강남구,87.7
2002,송파구,67.4
2002,강동구,43.3
2003,서울시,…
2003,본청,95.1
2003,종로구,70.4
2003,중구,91.9
2003,용산구,45.9
2003,성동구,38
2003,광진구,37.3
2003,동대문구,34.5
2003,중랑구,30.3
2003,성북구,44.6
