연번,역번호,호선,역명,역전화번호,역주소
1,150,1,서울역,02-6110-1331,서울특별시 중구 세종대로 지하 2 (남대문로 5가)
2,151,1,시청,02-6110-1321,서울특별시 중구 세종대로 지하 101 (정동)
3,152,1,종각,02-6110-1311,서울특별시 종로구 종로 지하 55 (종로1가)
4,153,1,종로3가,02-6110-1301,서울특별시 종로구 종로 지하 129 (종로3가)
5,154,1,종로5가,02-6110-1291,서울특별시 종로구 종로 지하 216  (종로5가)
6,155,1,동대문,02-6110-1281,서울특별시 종로구 종로 지하 302 (창신동)
7,156,1,신설동,02-6110-1261,서울특별시 동대문구 왕산로 지하 1 (신설동)
8,157,1,제기동,02-6110-1251,서울특별시 동대문구 왕산로 지하 93 (제기동)
9,158,1,청량리,02-6110-1241,서울특별시 동대문구 왕산로 지하 205(전농동)
10,159,1,동묘앞,02-6110-1271,서울특별시 종로구 종로 359 (숭인동)
11,200,2,까치산,02-6311-5181,서울특별시 강서구 강서로 지하54 (화곡동)
12,201,2,시청,02-6110-2011,서울특별시 중구 세종대로 지하 101 (정동)
13,202,2,을지로입구,02-6110-2021,서울특별시 중구 을지로 지하 42 (을지로1가)
14,203,2,을지로3가,02-6110-2031,서울특별시 중구 을지로 지하 106 (을지로3가)
15,204,2,을지로4가,02-6110-2041,서울특별시 중구 을지로 지하 178 (을지로4가)
16,205,2,동대문역사문화공원,02-6110-2051,서울특별시 중구 을지로 지하 279 (을지로7가)
17,206,2,신당,02-6110-2061,서울특별시 중구 퇴계로 지하 431-1 (신당동)
18,207,2,상왕십리,02-6110-2071,서울특별시 성동구 왕십리로 지하 374 (하왕십리동)
19,208,2,왕십리,02-6110-2081,서울특별시 성동구 왕십리로 지하300 (행당동)
20,209,2,한양대,02-6110-2091,서울특별시 성동구 왕십리로 206 (행당동)
21,210,2,뚝섬,02-6110-2101,서울특별시 성동구 아차산로 18 (성수동1가)
22,211,2,성수,02-6110-2111,서울특별시 성동구 아차산로 100 (성수동2가)
23,212,2,건대입구,02-6110-2121,서울특별시 광진구 아차산로 243 (화양동)
24,213,2,구의,02-6110-2131,서울특별시 광진구 아차산로 384-1 (구의동)
25,214,2,강변,02-6110-2141,서울특별시 광진구 강변역로 53 (구의동)
26,215,2,잠실나루,02-6110-2151,서울특별시 송파구 오금로 20 (신천동)
27,216,2,잠실,02-6110-2161,서울특별시 송파구 올림픽로 지하 265 (잠실동)
28,217,2,잠실새내,02-6110-2171,서울특별시 송파구 올림픽로 지하 140 (잠실동)
29,218,2,종합운동장,02-6110-2181,서울특별시 송파구 올림픽로 지하 23 (잠실동)
30,219,2,삼성,02-6110-2191,서울특별시 강남구 테헤란로 지하 538 (삼성동)
31,220,2,선릉,02-6110-2201,서울특별시 강남구 테헤란로 지하 340 (삼성동)
32,221,2,역삼,02-6110-2211,서울특별시 강남구 테헤란로 지하 156 (역삼동)
33,222,2,강남,02-6110-2221,서울특별시 강남구 강남대로 지하 396 (역삼동)
34,223,2,교대,02-6110-2231,서울특별시 서초구 서초대로 지하 294 (서초동)
35,224,2,서초,02-6110-2241,서울특별시 서초구 서초대로 지하 233 (서초동)
36,225,2,방배,02-6110-2251,서울특별시 서초구 방배로 지하 80 (방배동)
37,226,2,사당,02-6110-2261,서울특별시 동작구 남부순환로 지하 2089 (사당동)
38,227,2,낙성대,02-6110-2271,서울특별시 관악구 남부순환로 지하 1928 (봉천동)
39,228,2,서울대입구,02-6110-2281,서울특별시 관악구 남부순환로 지하 1822 (봉천동)
40,229,2,봉천,02-6110-2291,서울특별시 관악구 남부순환로 지하 1721 (봉천동)
41,230,2,신림,02-6110-2301,서울특별시 관악구 남부순환로 지하 1614 (신림동)
42,231,2,신대방,02-6110-2311,서울특별시 동작구 대림로 2 (신대방동)
43,232,2,구로디지털단지,02-6110-2321,서울특별시 구로구 도림천로 477 (구로동)
44,233,2,대림,02-6110-2331,서울 구로구 구로6동 125-66
45,234,2,신도림,02-6110-2341,서울특별시 구로구 새말로 지하 117-21 (신도림동)
46,235,2,문래,02-6110-2351,서울특별시 영등포구 당산로 지하 28 (문래동3가)
47,236,2,영등포구청,02-6110-2361,서울특별시 영등포구 당산로 지하 121 (당산동3가)
48,237,2,당산,02-6110-2371,서울특별시 영등포구 당산로 229 (당산동 6가)
49,238,2,합정,02-6110-2381,서울특별시 마포구 양화로 지하 55 (서교동)
50,239,2,홍대입구,02-6110-2391,서울특별시 마포구 양화로 지하160 (동교동)
51,240,2,신촌,02-6110-2401,서울특별시 마포구 신촌로 지하 90 (노고산동)
52,241,2,이대,02-6110-2411,서울특별시 마포구 신촌로 지하 180 (염리동)
53,242,2,아현,02-6110-2421,서울특별시 마포구 신촌로 지하 270 (아현동)
54,243,2,충정로,02-6110-2431,서울특별시 서대문구 서소문로 지하 17 (충정로3가)
55,244,2,용답,02-6110-1341,서울특별시 성동구 용답길 86 (용답동)
56,245,2,신답,02-6110-1351,서울특별시 성동구 천호대로 232 (용답동)
57,246,2,신설동,02-6110-1371,서울특별시 동대문구 왕산로 지하 1 (신설동)
58,247,2,도림천,02-6110-2441,서울특별시 구로구 경인로 67길 160 (신도림동)
59,248,2,양천구청,02-6110-2451,서울특별시 양천구 목동로3길 지하 33(신정동)
60,249,2,신정네거리,02-6110-2461,서울특별시 양천구 중앙로 지하 261 (신정동)
61,250,2,용두,02-6110-1361,서울특별시 동대문구 천호대로 지하 129
62,309,3,지축,02-6110-3191,경기도 고양시 덕양구 삼송로 300 (지축동)
63,310,3,구파발,02-6110-3201,서울특별시 은평구 진관2로 지하 15-25 (진관동)
64,311,3,연신내,02-6110-3211,서울특별시 은평구 통일로 지하 849 (갈현동)
65,312,3,불광,02-6110-3221,서울특별시 은평구 통일로 지하 723-1 (대조동 / 3호선 불광역)
66,313,3,녹번,02-6110-3231,서울특별시 은평구 통일로 지하 602-1 (녹번동)
67,314,3,홍제,02-6110-3241,서울특별시 서대문구 통일로 지하 440-1 (홍제동)
68,315,3,무악재,02-6110-3251,서울특별시 서대문구 통일로 지하 361 (홍제동)
69,316,3,독립문,02-6110-3261,서울특별시 서대문구 통일로 지하 247 (현저동)
70,317,3,경복궁,02-6110-3271,서울특별시 종로구 사직로 지하 130 (적선동)
71,318,3,안국,02-6110-3281,서울특별시 종로구 율곡로 지하 62 (안국동)
72,319,3,종로3가,02-6110-3291,서울특별시 종로구 종로 지하 129 (종로3가)
73,320,3,을지로3가,02-6110-3301,서울특별시 중구 을지로 지하 106 (을지로3가)
74,321,3,충무로,02-6110-4231,서울특별시 중구 퇴계로 지하 199 (필동2가)
75,322,3,동대입구,02-6110-3321,서울특별시 중구 동호로 지하 256 (장충동2가)
76,323,3,약수,02-6110-3331,서울특별시 중구 다산로 지하 122 (신당동)
77,324,3,금호,02-6110-3341,서울특별시 성동구 동호로 지하 104 (금호동4가)
78,325,3,옥수,02-6110-3351,서울특별시 성동구 동호로 21 (옥수동) 옥수역
79,326,3,압구정,02-6110-3361,서울특별시 강남구 압구정로 지하 172 (신사동)
80,327,3,신사,02-6110-3371,서울특별시 강남구 도산대로 지하 102 (신사동)
81,328,3,잠원,02-6110-3381,서울특별시 서초구 잠원로 4길 지하 46 (잠원동)
82,329,3,고속터미널,02-6110-3391,서울특별시 서초구 신반포로 지하 188 (반포동)
83,330,3,교대,02-6110-3401,서울특별시 서초구 서초대로 지하 294 (서초동)
84,331,3,남부터미널,02-6110-3411,서울특별시 서초구 서초중앙로 지하 31 (서초동)
85,332,3,양재,02-6110-3421,서울특별시 서초구 남부순환로 지하 2585 (서초동)
86,333,3,매봉,02-6110-3431,서울특별시 강남구 남부순환로 지하 2744 (도곡동)
87,334,3,도곡,02-6110-3441,서울특별시 강남구 남부순환로 지하 2814 (도곡동)
88,335,3,대치,02-6110-3451,서울특별시 강남구 남부순환로 지하 2952 (대치동)
89,336,3,학여울,02-6110-3461,서울특별시 강남구 남부순환로 지하 3104 (대치동)
90,337,3,대청,02-6110-3471,서울특별시 강남구 일원로 지하 2 (일원동)
91,338,3,일원,02-6110-3481,서울특별시 강남구 일원로 지하 121 (일원동)
92,339,3,수서,02-6110-3491,서울특별시 강남구 광평로 지하 270 (수서동)
93,340,3,가락시장,02-6311-8171,서울특별시 송파구 송파대로 지하 257 (가락동)
94,341,3,경찰병원,02-3110-3511,서울특별시 송파구 중대로 지하 149 (가락동)
95,342,3,오금,02-6110-3521,서울특별시 송파구 오금로 지하 321 (오금동)
96,409,4,당고개,02-6110-4091,서울특별시 노원구 상계로 305 (상계동)
97,410,4,상계,02-6110-4101,서울특별시 노원구 상계로 182 (상계동)
98,411,4,노원,02-6110-4111,서울특별시 노원구 상계로 69-1 (상계동)
99,412,4,창동,02-6110-4121,서울특별시 도봉구 마들로 11길 77 (창동)
100,413,4,쌍문,02-6110-4131,서울특별시 도봉구 도봉로 지하 486-1 (창동)
101,414,4,수유,02-6110-4141,서울특별시 강북구 도봉로 지하 50 (미아동)
102,415,4,미아,02-6110-4151,서울특별시 강북구 도봉로 지하 198 (미아동)
103,416,4,미아사거리,02-6110-4161,서울특별시 강북구 도봉로 지하 50 (미아동)
104,417,4,길음,02-6110-4171,서울특별시 성북구 동소문로 지하 248 (길음동)
