"('Year',)","('sigName',)","('급수대상총인구',)","('급수인구',)","('보급률(%)',)","('시설용량(㎥/일)',)","('급수량(㎥/일)',)","('1일1인당급수량(ℓ)',)","('급수전수',)"
1993,종로구,"222,423","222,423",100,…,…,0...,"42,976"
1994,종로구,"214,930","214,930",100,…,…,0...,"44,898"
1995,종로구,"204,733","204,733",100,…,…,0...,"45,278"
1996,종로구,"199,475","199,475",100,…,…,0...,"45,447"
1997,종로구,"196,611","196,611",100,…,…,0...,"48,090"
1998,종로구,"190,619","190,619",100,…,…,…,"48,317"
1999,종로구,"188,865","188,865",100,…,…,…,"47,851"
2000,종로구,"188,946","188,946",100,…,"192,332.6066","1,018","47,879"
2001,종로구,"187,038","187,038",100,…,…,…,"48,848"
2002,종로구,"184,224","184,224",100,…,…,0...,"50,464"
2003,종로구,"181,441","181,441",100,…,…,0...,"51,645"
2004,종로구,"178,574","178,574",100,…,…,0...,0...
2005,종로구,"173,861","173,861",100,…,…,…,"50,365"
2006,종로구,"172,690","172,690",100,…,"116,637",675,"50,368"
2007,종로구,"173,843","173,843",100,…,"102,395",589,"50,401"
2008,종로구,"179,754","179,754",100,-,"104,972",584,"49,917"
2009,종로구,"177,543","177,543",100,-,"104,374",588,"49,971"
2010,종로구,"179,362","179,362",100,-,"97,573",544,"47,714"
2011,종로구,"177,419","177,419",100,-,"102,818",580,"50,594"
2012,종로구,"173,148","173,148",100,-,"99,555",575,"50,773"
2013,종로구,"167,867","167,867",100,-,"94,140",561,"50,265"
2014,종로구,"165,344","165,344",100,-,"95,157",576,"50,597"
2015,종로구,"163,822","163,822",100,-,"96,360",588,"50,757"
2016,종로구,"161,922","161,922",100,-,"80,903",500,"51,526"
2017,종로구,"164,257","164,257",100,-,"87,070",530,"51,961"
2018,종로구,"163,026","163,026",100,-,"97,279",597,"52,659"
2019,종로구,"161,869","161,869",100,-,"94,610",584,"52,992"
