"('Year',)","('sigName',)","('급수대상총인구',)","('급수인구',)","('보급률(%)',)","('시설용량(㎥/일)',)","('급수량(㎥/일)',)","('1일1인당급수량(ℓ)',)","('급수전수',)"
1993,중구,"167,383","167,383",100,…,…,0...,"34,434"
1994,중구,"156,302","156,302",100,…,…,0...,"33,681"
1995,중구,"145,646","145,646",100,…,…,0...,"33,106"
1996,중구,"134,839","134,839",100,…,…,0...,"34,284"
1997,중구,"129,680","129,680",100,…,…,0...,"32,449"
1998,중구,"125,050","125,050",100,…,…,…,"32,092"
1999,중구,"129,061","129,061",100,…,…,…,"32,118"
2000,중구,"144,074","144,074",100,…,"145,093.019","1,007","33,101"
2001,중구,"146,335","146,335",100,…,…,…,"33,923"
2002,중구,"141,603","141,603",100,…,…,0...,"33,804"
2003,중구,"138,798","138,798",100,…,…,0...,"34,402"
2004,중구,"136,585","136,585",100,…,…,0...,0...
2005,중구,"134,420","134,420",100,…,…,…,"34,474"
2006,중구,"136,348","136,348",100,…,"106,697",783,"34,327"
2007,중구,"137,435","137,435",100,…,"108,136",787,"34,051"
2008,중구,"138,811","138,811",100,-,"95,372",687,"32,765"
2009,중구,"137,861","137,861",100,-,"94,617",686,"32,584"
2010,중구,"141,200","141,200",100,-,"96,775",685,"30,396"
2011,중구,"141,567","141,567",100,-,"94,768",669,"32,537"
2012,중구,"140,807","140,807",100,-,"96,001",682,"32,467"
2013,중구,"137,990","137,990",100,-,"96,330",698,"32,706"
2014,중구,"136,227","136,227",100,-,"103,519",760,"32,146"
2015,중구,"134,329","134,329",100,-,"107,235",798,"32,256"
2016,중구,"134,409","134,409",100,-,"91,138",678,"33,415"
2017,중구,"134,593","134,593",100,-,"96,932",720,"33,788"
2018,중구,"135,633","135,633",100,-,"96,707",713,"34,552"
2019,중구,"136,488","136,488",100,-,"99,114",726,"35,205"
