Year,sigName,계,계,종합병원,종합병원,병원,병원,의원,의원,요양병원,요양병원,치과병원,치과병원,치과의원,치과의원,한방병원,한방병원,한방의원,한방의원,조산소,조산소,특수병원,특수병원,부속병의원,부속병의원,노인전문병원,노인전문병원,결핵병원,결핵병원,정신병원,정신병원,조산원,조산원
Year,sigName,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수
1995,금천구,176,546,1,120,3,159,95,265,-,-,53,-,-,-,22,-,-,-,2,2,-,-,,,,,,,,,,
1996,금천구,176,613,1,120,3,159,94,282,-,-,51,-,-,-,25,50,-,-,2,2,-,-,,,,,,,,,,
1997,금천구,192,"3,351",7,"2,794",3,199,100,307,-,-,53,-,-,-,28,50,-,-,1,1,-,-,,,,,,,,,,
1998,금천구,183,621,1,120,3,199,98,251,-,-,52,-,-,-,28,50,-,-,1,1,-,-,,,,,,,,,,
1999,금천구,194,713,1,120,2,148,103,374,-,-,55,-,-,-,32,70,-,-,1,1,-,-,,,,,,,,,,
2000,금천구,192,677,1,120,3,198,99,288,-,-,54,-,-,-,34,70,-,-,1,1,-,-,,,,,,,,,,
2001,금천구,207,714,1,120,3,204,108,320,-,-,58,-,-,-,35,70,-,-,2,-,-,-,,,,,,,,,,
2002,금천구,235,849,1,120,3,200,123,459,-,-,64,-,-,-,44,70,-,-,-,-,-,-,,,,,,,,,,
2003,금천구,232,834,1,120,3,201,118,443,-,-,64,-,-,-,46,70,-,-,-,-,-,-,,,,,,,,,,
2004,금천구,240,851,1,120,3,201,118,460,-,-,70,-,-,-,1,70,47,-,-,-,-,-,,,,,,,,,,
2005,금천구,242,829,1,120,3,201,117,438,-,-,71,-,-,-,1,70,49,-,-,-,-,-,,,,,,,,,,
2006,금천구,243,780,1,120,2,123,117,467,-,-,-,-,76,-,1,70,46,-,-,-,-,-,,,,,,,,,,
2007,금천구,263,938,1,120,3,253,127,512,-,-,-,-,83,-,1,53,48,-,-,-,-,-,,,,,,,,,,
2008,금천구,259,"1,000",1,141,2,107,122,474,1,44,-,-,81,-,1,53,50,-,-,-,1,181,,,,,,,,,,
2009,금천구,276,"1,061",1,141,3,288,128,502,1,77,-,-,89,-,1,53,53,-,-,-,-,-,,,,,,,,,,
2010,금천구,283,"1,113",1,141,4,351,130,491,1,77,-,-,93,-,1,53,53,-,,,,,-,-,-,-,-,-,-,-,-,-
2011,금천구,290,"1,350",1,141,6,481,131,528,2,151,-,-,94,-,1,39,55,10,,,,,-,-,-,-,-,-,-,-,-,-
2012,금천구,305,"1,692",1,146,6,527,136,456,4,502,-,-,97,-,1,47,60,14,,,,,-,-,-,-,-,-,-,-,-,-
2013,금천구,306,"1,829",1,189,4,384,131,401,6,808,-,-,99,-,1,47,64,-,,,,,-,-,-,-,-,-,-,-,-,-
2014,금천구,315,"1,874",1,189,4,383,133,404,6,837,-,-,100,-,1,47,70,14,,,,,-,-,-,-,-,-,-,-,-,-
2015,금천구,319,"2,128",1,189,7,855,135,438,4,585,-,-,100,-,1,47,71,14,,,,,-,-,-,-,-,-,-,-,-,-
2016,금천구,336,"1,993",1,189,6,704,145,422,4,621,-,-,104,-,1,47,75,10,,,,,-,-,-,-,-,-,-,-,-,-
2017,금천구,330,"2,035",1,236,6,704,143,388,4,621,-,-,101,-,1,47,74,39,,,,,-,-,-,-,-,-,-,-,-,-
2018,금천구,339,"1,911",1,225,6,626,151,342,4,621,-,-,103,-,1,47,73,50,,,,,-,-,-,-,-,-,-,-,-,-
2019,금천구,356,"2,161",1,242,6,627,158,268,4,640,-,-,106,-,3,334,78,50,,,,,-,-,-,-,-,-,-,-,-,-
